Año;Alcaldía;Número de cursos
2013;Azcapotzalco;3
2013;Iztapalapa;10
2013;Miguel Hidalgo;11
2013;Milpa Alta;7
2013;Venustiano Carranza;12
2014;Cuajimalpa De Morelos;1
2014;Cuauhtémoc;28
2014;Iztacalco;8
2014;Iztapalapa;7
2014;Tláhuac;19
2014;Xochimilco;3
2015;Álvaro Obregón;12
2015;Cuajimalpa De Morelos;4
2015;Iztapalapa;9
2015;Tláhuac;6
2015;Xochimilco;3
2016;Benito Juárez;28
2016;Miguel Hidalgo;7
2017;Cuajimalpa De Morelos;1
2017;Iztapalapa;19
2018;Álvaro Obregón;5
2018;Benito Juárez;20
2018;Coyoacán;44
2018;Cuauhtémoc;12
2018;Iztapalapa;2
2018;Magdalena Contreras;6
2018;Miguel Hidalgo;11
2018;Milpa Alta;2
2018;Tlalpan;4
2019;Azcapotzalco;3
2019;Cuajimalpa De Morelos;1
2019;Magdalena Contreras;5
2019;Miguel Hidalgo;9
2019;Tláhuac;7
2019;Venustiano Carranza;10
2013;Álvaro Obregón;4
2013;Gustavo A. Madero;8
2013;Iztacalco;3
2013;Magdalena Contreras;5
2013;Tláhuac;6
2014;Álvaro Obregón;8
2014;Azcapotzalco;6
2014;Benito Juárez;28
2014;Coyoacán;19
2014;Gustavo A. Madero;5
2014;Miguel Hidalgo;9
2014;Milpa Alta;2
2015;Benito Juárez;18
2015;Cuauhtémoc;33
2015;Gustavo A. Madero;5
2015;Iztacalco;7
2015;Magdalena Contreras;4
2015;Miguel Hidalgo;15
2015;Venustiano Carranza;13
2016;Álvaro Obregón;6
2016;Azcapotzalco;9
2016;Coyoacán;21
2016;Cuauhtémoc;30
2016;Gustavo A. Madero;30
2016;Tlalpan;5
2016;Xochimilco;1
2017;Álvaro Obregón;18
2017;Azcapotzalco;9
2017;Benito Juárez;16
2017;Cuauhtémoc;10
2017;Gustavo A. Madero;16
2017;Iztacalco;8
2017;Magdalena Contreras;2
2017;Tlalpan;13
2017;Venustiano Carranza;15
2017;Xochimilco;2
2018;Azcapotzalco;6
2018;Cuajimalpa De Morelos;1
2018;Iztacalco;16
2018;Venustiano Carranza;11
2018;Xochimilco;4
2019;Álvaro Obregón;1
2019;Gustavo A. Madero;21
2019;Iztapalapa;4
2013;Benito Juárez;21
2013;Coyoacán;6
2013;Cuajimalpa De Morelos;7
2013;Cuauhtémoc;8
2013;Tlalpan;11
2013;Xochimilco;3
2014;Magdalena Contreras;2
2014;Tlalpan;7
2014;Venustiano Carranza;6
2015;Azcapotzalco;8
2015;Coyoacán;11
2015;Milpa Alta;6
2015;Tlalpan;8
2016;Cuajimalpa De Morelos;1
2016;Iztacalco;8
2016;Iztapalapa;7
2016;Magdalena Contreras;0
2016;Milpa Alta;0
2016;Tláhuac;9
2016;Venustiano Carranza;23
2017;Coyoacán;10
2017;Miguel Hidalgo;7
2017;Milpa Alta;0
2017;Tláhuac;5
2018;Gustavo A. Madero;1
2018;Tláhuac;17
2019;Benito Juárez;21
2019;Coyoacán;21
2019;Cuauhtémoc;19
2019;Iztacalco;17
2019;Milpa Alta;6
2019;Tlalpan;10
2019;Xochimilco;0
